,follows_target,n_followers,n_following,n_posts,posts_over_time,bio,post_1_content,post_2_content,post_3_content,likes_post_1,comments_post_1,likes_post_2,comments_post_2,likes_post_3,comments_post_3,likes_post_4,comments_post_4,likes_post_5,comments_post_5,post_4_content
nataschavanvliet,1.0,395.0,640.0,44.0,,Interieur | vormgever | Vectorworks tekenaar Welcome to my wondermind,,,,1.0,,,,,,,,,,
stylecowboys,,3527.0,364.0,672.0,1.0,🔷 lifestyle en living 🔷 gadgets 🔷 fashion🔷 gezondheid🔷 travelLees de blogs👇🏻,"stylecowboys
Binnenkort opent het Instagram museum van Anna Nooshin zijn deuren. Bij ‘The Upside Down Amsterdam’ maak je perfecte foto’s voor je feed. Lees meer op StyleCowboys 🤳🏽! Is het museum iets voor jou?

#instagram #museum #instamuseum #instafeed #annanooshin #theupsidedown #amsterdam #artoftheday #kunstopjefeed #instaphoto #photography #workofart #amsterdammuseum
4h","stylecowboys
Zwarte keukens en keukenspullen zijn helemaal hip. Meer weten? Lees het artikel via de link in bio (+ tips) 🖤

#interieurinspiratie #keukeninspiratie #keukenstyling #keuken #zwartekeuken #lifestyle #interieur #interieurstyling #wonen #woninginrichting
2d","stylecowboys
ID&T opent deze zomer een camping in Drenthe. Toch een beetje het festivalgevoel ervaren 😎! #festivalseason #camping #vakantiegevoel #zomer2020 #kamperen #kampereninnederland #glamping #kampeervakantie #reizen #vakantieineigenland #nederland #drenthe #welkomteruginnl
1w",1.0,,,,,,,,,,
charlyvanderput,,93.0,678.0,1233.0,,Bobo gaucho écolo intellectuel journaliste animateur producteur radio et photographe urbanisme documentaire de Bruxelles. #Parjupiterfanclub 🌈✊🏻✊🏿🚩,,,,1.0,,1.0,,,,,,,,
laura_verhulst,1.0,837.0,1419.0,249.0,1.0,"👸 | 24 y/o📍 | Antwerp, Belgium🌍 | Upcoming: Borneo","laura_verhulst
#blackouttuesday
2w","laura_verhulst
Today, be the badass girl you were too lazy to be yesterday.
•
Wearing @charlinescloset 🤩
•
#dress #charlinescloset #girl #flowers #ootd #ootdshare #igers
3w","laura_verhulst
Let's stay in, to go out..
7w",1.0,,,,,,,,,,
juffrouw_slak,,836.0,538.0,278.0,1.0,•kidsstore•babystore•hairdresser•(wooden)toys•(wool)clothes•size44-140•&more•,"juffrouw_slak
Nog een paar dagen en dan is het zulk heerlijk weer dat de maillot voorlopig niet meer aan hoeft onder dit jurkje van badstof ☀️ Bedankt voor de foto, mamma van Rosie 🥰
7h","juffrouw_slak
De titel alleen al 😂 #goeiemorgen #ochtendhumeur
5d","juffrouw_slak
☀️ Kijk Fiep eens stralen in haar nieuwe jurk op deze mooie dag!
We hebben nog 2 maten beschikbaar: 92 en 98. Fijne dag!
6d",1.0,,,,,,,,,,
emmywolde._,,962.0,999.0,7.0,1.0,<3317yearsold,"emmywolde._
Daggie 🏖🏖
1w","emmywolde._
I’M DONEE🥂
3w","emmywolde._
JARIG17?
7w",1.0,,,,,,,,,,
nourishtoflourish.nl,1.0,865.0,578.0,32.0,1.0,𝘖𝘳𝘵𝘩𝘰𝘮𝘰𝘭𝘦𝘤𝘶𝘭𝘢𝘪𝘳 𝘋𝘪𝘦𝘵𝘪𝘴𝘵 𝘝𝘰𝘦𝘥𝘪𝘯𝘨𝘴𝘢𝘥𝘷𝘪𝘦𝘻𝘦𝘯 • 𝘉𝘭𝘰𝘦𝘥𝘰𝘯𝘥𝘦𝘳𝘻𝘰𝘦𝘬𝘦𝘯 • 𝘚𝘶𝘱𝘱𝘭𝘦𝘮𝘦𝘯𝘵𝘦𝘯𝘉𝘺 @sophiemeurs 💜,"nourishtoflourish.nl
SUPPLEMENTEN

Leuk dat je weer kijkt naar een nieuwe IGTV💥 Vorige keer heb ik jullie het één en ander vertelt over eiwitten, vandaag zal ik het met jullie hebben over voedingssupplementen en waarom ik deze adviseer. Het was een one-taker dus excuses voor het woordgestruikel soms, maar hopelijk vinden jullie het een leuke video😊 Mocht je vragen hebben, schroom dan niet een berichtje te sturen🙌🏼
1d","nourishtoflourish.nl
Vorige week kreeg ik van een cliënt deze prachtige Amethist. Het is dé steen van het loslaten. Negatieve gedragspatronen en gewoontes verbreken.

En laat dit nu net een groot punt zijn waar ik mij tijdens de consulten op focus; stressreductie. Niet alleen in de vorm van mentale stress, maar (vooral) ook fysieke stress.
Weet jij eigenlijk wel wat goed voor jouw lichaam is? Heb je het gevoel dat je moeilijk kan loslaten? Ben je prikkelbaar? Heb jij veel last van hoofdpijn en/of je darmen? Voel jij je niet zo lekker in je vel?

Door langdurige stress, bijvoorbeeld door voedingsintoleranties, blijft voortdurend adrenaline en cortisol geproduceerd worden. Dit bevordert laaggradige ontstekingen, die op hun beurt weer allerlei (soms vage) klachten kunnen veroorzaken.
Langdurige stress is iets wat altijd gezondheid in de weg zit. Daarom mijn vraag aan jou? Wat maakt jou ontspannen en waar haal jij deze ontspanning uit?🙏🏻 Deze prachtige Amethist staat vanaf nu lekker op mijn bureautje te shinen. ✨ Hij is (naast de helende werking) ook perfect in de kleur van Nourish to Flourish👌🏼😏💜
2d","nourishtoflourish.nl
Misschien heb je al eens een onderzoek gedaan of weet jij dat je een zwakke darmgezondheid hebt?🤷🏼‍♀️ Terwijl jij bezig bent je gezondheid te optimaliseren en je darm te ontzien van belasting, kan je het leuker maken dan het is; door wat gezellige poepertjes en boosters toe te voegen aan je smoothie!

De volgende ingrediënten werken o.a. ondersteunend voor de darmgezondheid en kan je makkelijk toevoegen aan je smoothies of havermoutje. Hier een paar voorbeelden:

L-glutamine is de energiebron voor snel delende cellen als ons immuunsysteem en ons darmepitheel. Kort gezegd bestaat onze darmwand uit L-glutamine en ondersteunt dit aminozuur de vorming van de zogeheten tight-junctions (houden de darmepitheel cellen bij elkaar zodat voedings deeltjes niet het darmslijmvlies in kunnen gaan). Het nemen van L-glutamine wordt dus ingezet om de darmwand sterker te maken.

Collageen is naast een belangrijke speler in het bewegingsapparaat ook onwijs belangrijk bij het versterken van de darmwand.

Quercetine is een sterke antioxidant die ontsteking tegengaat. Ontstekingsreacties zijn de grootste oorzaak van de meeste ziekten. Quercetine zit o.a. ook in appels, pepers, olijfolie, kappertjes en rode wijn (Hello Friday😏) Moringa draagt een steentje bij aan de spijsvertering door de veelzijdige werking van dit plantje. Zo gaat het ontsteking tegen, ondersteund het de lever functie, gaat hoge bloeddruk tegen, verlaagd cholesterol, helpt de schildklierfunctie te reguleren en ga zo maar door. Een mooi “poedertje” om toe te voegen aan je smoothie.

Ashwaghanda is een adoptogeen en wordt binnen de ayurvedische geneeskunde al jaren gebruikt. Als adaptogeen verbetert ashwaghanda de conditie van lichaam en geest door cel veroudering tegen te gaan en heeft voornamelijk een stress verlagend effect. Waarom dit goed is voor je darmgezondheid? Omdat het helpt bij chronische en acute stress en je hierdoor jouw systeem rust geeft, waardoor er minder kans is op laaggradige ontstekingen; het immuunsysteem wordt geboost.
6d",1.0,,,,,,,,,,
melanie_.88,1.0,947.0,1029.0,257.0,1.0,°fighter°Cervical cancer 2018°become the best version of myself°Making new memories°Alpe d'HuZes juni 2021!#ad6,"melanie_.88
Je bent prachtig❤

#prachtig#powervrouw#almere#starbucks#rock#tessvfashion#fitgirl#instafit#instahealth#health#blond#instamodel#model#smile#beautiful#power#stairs#love#lifestyle#fashion#insta#instagram#🌞#❤
1w","melanie_.88
Afgelopen weekend konden we onze kleding ophalen voor de Alpe d'HuZes... een gekke gewaarwording nog steeds dat het dit jaar niet door kan gaan... Anders waren we afgelopen weekend vertrokken richting de alpe d'huez nu moest ik het doen met een doorgezaagde bunker, ook leuk maar lang niet zo spannend als het avontuur wat me anders te wachten stond! Ondanks alles hebben we er toch een heerlijk weekend van gemaakt!#bunker#alpedhuzes#alpedhuez#culemborg#weekend#sun#modellife#model#enjoy#love#fitgirl#blond#avontuur#travel#camperlife#instagram#pictureoftheday#photooftheday#instafit#flowers#world#vanlife#camper#smile#🌍#☀️
2w","melanie_.88
Trust the timing of your life!

Little by little,
Day by day,
What is meant
for you will
find its way!
#positivity#rock#tessv#life#model#fitgirl#fitlife#instahealth#instamodel#almere#health#power#powervrouw#blond#day#trust#smile#sport#fitness#love#happy#photo#picture#❤
3w",1.0,,,,,,,,,,
liyana_shakira,1.0,51.0,86.0,6.0,1.0,,"liyana_shakira
GEFELICITEERD HAJAR MET JE VERJAARDAG ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳
7w","liyana_shakira
☕️STARBUCKS☕️ & 💀DUNGEON💀
17w",,1.0,,1.0,,1.0,,,,,,https://www.instagram.com/p/B7JobVmBAOo/
riverhouseagency,1.0,147.0,403.0,374.0,1.0,designfollowsfunction#functionfollowsdesign#mountains#skis#lakes#sea#art#paintor#3girlsandamom#surf#freedom#quality#hygge#architecture#art#peacelove,"riverhouseagency
Beauty! La mer, le vent, les voiles!
#liberte#ventsmarins#ocean#voile#sail.theworld#bleu#blanc
14h","riverhouseagency
Koziol et pic-nic! Mais bien évidemment!
#organic#vegan#madeingermany#picnic#cleanwater#reusable#bags#artdelatable#riverhouseagency
16h","riverhouseagency
Looove this picture!! Me one day!
#onesurfstyle#wave#ocean#surf
16h",1.0,,,,,,,,,,
epbass2,1.0,184.0,709.0,133.0,1.0,Bajista,"epbass2
#blackouttuesday @virgin
2w","epbass2
VAMPIROS

Vampiros en vivo
MARCOPOLLO BAR
2019
9w",,1.0,,,,,,,,,,https://www.instagram.com/p/B-CzZjBH5zh/
charlotte_bieseman,1.0,338.0,964.0,9.0,,.◦✦. ◦ ༝༜☼∴⋱◦                                                                                                                你的生活會更好 @_wearedistrict_,,,,1.0,,,,,,,,,,
kimdevrieze,,392.0,637.0,248.0,,"Kim (30) ❤️ Erik en mijn meisjes Puk en Pip.Natuur, moestuin, wolletjes, draagliefde, peuterjuf. ❤️ Haltpop en Ecohof Noorderveer.",,,,1.0,,,,,,,,,,
ana.mozgan5,,71.0,169.0,0.0,,,,,,1.0,,,,,,,,,,
onsplekjeonline,,143.0,456.0,74.0,1.0,"✨ Bianca & Kimsy✨ Online blog: recepten, beauty, fashion, interieur, reizen & lifestyle.✨ Contact: onsplekjeonline@gmail.com of DM","onsplekjeonline
Dit recept heb ik van mijn buurmeisje gekregen, we hadden het over snelle en simpele recepten.🍽
En dat is dit recept zeker een heerlijk romige pasta met zalm!
Als je dit ziet, bedankt voor je receptje! 😊
Ben je benieuwd naar het recept? Die kun je vinden op onze blog link in bio!

#pasta #pastalover #zalm #rucola #sharingiscaring #snelensimpelgerecht
#snelensimpelkoken #pestopasta #pastapestoday
5h","onsplekjeonline
De belangrijkste persoon in je leven ben je zelf! ❣️
Houd rekening met jezelf en je eigen gevoel.
Voelt iets niet goed, doe het dan zeker niet! ❤️ #quoteoftheday #loveyourself #quote #you #beyou #beyourself #lifelessons #lovelife
12h","onsplekjeonline
Walk towards the good in life and one day you will arrive 🚶‍♀️❤️ #findthegoodineveryday #findthegoodinyourlife #lovetowalk #enjoylife #enjoylifethewayitis #trustinyourself #trustingoodthings #msmodefestivaldress @birkenstock @msmode
1d",1.0,,,,,,,,,,
_sfrische_,1.0,1876.0,707.0,442.0,1.0,DAS FITTE BISTRO☕ Café & Bistro🏋️‍♂️ Fitness Coaching⏲️ COVID HOURS Mo-Do 8-16▪️Fr 8-14frisch. bio. nachhaltig.Tag us👇🏻#sfrische #dasfittebistro,"_sfrische_
WAS IST DEINE AUSREDE?
.
Wir kennen sie alle!
- zu wenig Zeit
- zu warm/zu kalt
- zu müde
- ich würd ja gern, aber ich weiß nicht wie
- ich bin zu alt
.
Fakt ist: wenn man nicht will, findet man immer eine Ausrede. Fakt ist auch: wenn man will, schafft man alles.
.
Meine liebe Trude, die ihr hier auf dem Foto seht, feierte vor ein paar Wochen ihren 75. Geburtstag. Seit bereits einem Jahr trainieren wir zusammen an ihrer Beweglichkeit, ihrem Gleichgewicht und ihrer Kraft. Als ich ihr vor Kurzem vorgeschlagen habe ""lass uns doch mal Outdoor mit dem TRX trainieren"" hatte sie zuerst sehr viel Respekt und meinte, das schaffe sie vielleicht nicht. Nach dem ersten vorsichtigen Beschnuppern mit dem Schlingentrainer entstand dann dieses Foto. Sie rudert EINARMIG! Sie ist über sich selbst hinaus gewachsen und wie sehr sie sich darüber freut, seht ihr an ihrem Gesicht.
.
Long story short: nicht zu viel nachdenken oder nach Ausreden suchen. EINFACH MACHEN! Glücksgefühle garantiert 💪
.
#sfrische #training #outdoorworkout #personaltraining #coaching #trx #keineausreden #noexcuses #nevertooold #motivation #motivationalquotes #justdoit #daspersönlichetraining #vienna #wien
1d","_sfrische_
MONDAY MOOD
.
Kaffee & Kuchen 🙌🏻
Wie lässt es sich besser in die neue Woche starten als mit einer leckeren Ladung Koffein und einem hausgemachten Kuchen?
.
Ich bin ein bisschen wie Garfield.. Montage sind nicht gerade mein Favorit 😳😂 nach 2 Kaffee hängt mir immer noch das müde Auge. Wie sieht es bei dir aus? Wie bist du heute in die Woche gestartet? Topmotiviert? Geschlaucht vom Wochenende? Mit Frühstück oder ohne? Erzähl mal ⬇️⬇️⬇️
.
#sfrische #bistro #dasfittebistro #coffee #coffeelovers #coffeeaddicts #cappuccino #homemade #homemadecake #brownie #mondays #mondaymood #mood #tired #caffeine #viennacafe #cafesinvienna #vienna #wien #josefstadt #holdirdeinestärkung
3d","_sfrische_
IT'S A TOP KNOT & DOUBLE SHOT KINDA DAY 🌦️
.
Wie trinkst du deinen Kaffee am liebsten? Schwarz? Verlängert? Mit Milch?
Ich bevorzuge ja eigentlich immer einen #cappuccino aber heute darfs mal ein doppelter #espresso sein. Irgendwie muss man sich ja über diesen verregneten Tag retten 😜
.
Schreib uns deinen Lieblingskaffee in die Kommentare. Wir sind gespannt!
.
#sfrische #bistro #dasfittebistro #coffee #coffeelover #coffeequotes #coffeegram #instacoffee #cafe #cafesinvienna #doubleshot #topknot #rainyday #viennacafe #vienna #wien #josefstadt #holdirdeinestärkung
1w",1.0,,,,,,,,,,
dead.rose.xx,,506.0,832.0,48.0,1.0,17🥀Your local weirdo🦇music addict🤘🏻Coffee lover🖤Taken❤️🇳🇱 🏴󠁧󠁢󠁳󠁣󠁴󠁿Spam acc @dead.rose.spam.x,"dead.rose.xx
Babble babble bitch bitch rebel rebel party party 🖤🥀 #marylinmanson #lyrics #cursed #gothgoth #makeup #alternative #metal #gothgirl #gothgoth #motleycrue #thecure #rammstein #creative #slipknot #cursed #weirdo #misfit #pierced #mullet
7h","dead.rose.xx
🦇But you are plastic and so are your brains🦇 ~ marilyn manson

#vintage #marylinmanson #lyrics #gothgoth
#mullet #alternative #metal #gothgirl #fancy #extra #grunge #rock #hardrock #cradleoffilth #avrillavigne #pierced #thecure #rammstein #slipknot #corset #makeup #gothqueen #cursed
2w","dead.rose.xx
Sometimes i dream of being a Unicorn 🖤

#demonia #alternative #metal #gothgirl #fancy #extra #grunge #rock #gothgoth #outfit #dress #diy #motleycrue #marylinmanson #thecure #rammstein #slipknot #avrillavigne #cradleoffilth #graveyard
3w",1.0,,,,,,,,,,
sparklestyle_01,,3234.0,250.0,1065.0,1.0,✰ Fashion ✰ Lifestyle ✰ Interior ✰ Boutique,"sparklestyle_01
Zuiveren en Parfumeren!
#zuiveren #parfumeren #parfum #clean #healthy #air #home #interior #vegan #perfume #lampeberger #paris #maisonberger #happy #living #lifestyle #sparkle #style #online #sale #shopping #sparklestyle
9w","sparklestyle_01
OPHEFFINGSUITVERKOOP!
Alle Jurkjes nu €24,99 pst.
#jurken #opheffingsuitverkoop #sale #jurk #jurkjes #happy #fashion #dress #dresses #spring #summer #sparkle #style #sparklestyle #diemen #diemerplein #onlineshop
12w","sparklestyle_01
love Sparkle Style Sale!
#love #sparkle #style #sale #leeg #verkoop #opheffingsuitverkoop #uitverkoop #happy #home #zusss #fashion #lampeberger #paris #parfum #perfume #sparklestyle #diemen #diemerplein op=op weg=pech
15w",1.0,,,,,,,,,,
p_rawe,1.0,986.0,2501.0,309.0,1.0,•ATR• •SMA•♡ @maahes_war @astheyrise_official @slovak_metal_army,"p_rawe
#summerishere #sun #alternativeclothing #tattoed #sneakers #blackandwhite #supportyourlocalbusiness
1d","p_rawe
ᐯIᑎTᗩGE ᗯITᑕᕼ
#vintagelook #retro #vintageshop #secondhandstore #supportlocalbusiness #shoplocal #thriftedfashion #thriftstore #sustainablefashion #recyclefashion #buyfromothers #almarashop #nox.benedicta
1w","p_rawe
Na ceste od @bibienvita s čerstvým strihom 👌🖤 #evening #walk #oldbuilding #historylover #artlover #wednesday #freshhaircut #medicine_sk #medicineeverydaytherapy #astronaut #designlovers
1w",1.0,,,,,,,,,,
gerrard_street,1.0,2904.0,1792.0,570.0,1.0,🎧 High-end durable headphones🔉 Perfect sound Great fit Unlimited repairs📅 Can be cancelled monthly🌎 World's first circular headphones,"gerrard_street
The BOSS is back in stock! 🥳🥳
Ordered before 15:30, next day delivery! 🙌🙌🌍 ⁠
1d","gerrard_street
Our modular design and the fact that we remain ownership over our products means we can limit the amount of e-waste we eventually produce while providing you with an excellent pair of headphones as a service! 🌎 🌿 ✨⁠
⁠
Before we ship the refurbished modules and the repaired stock we make sure everything is polished, checked and disinfected thoroughly. We've always done it this way but now it seems especially important during the pandemic.⁠
⁠
(This picture was taken pre-Corona times, we use gloves now as well.) 😷 Stay safe y'all! ⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
#duurzaam #sustainable #duurzaamheid #duurzaamleven #tweedehands #ecologisch #vegan #recycle #her#groen #milieu #zerowaste #nature #eco #organic #bhfyp #muziek #music #theater #concert #zingen #dj #nederland #amsterdam #feest #live #livemuziek #festival #cultuur #headphones ⁠
⁠
⁠
1w","gerrard_street
Go for future proof sound! 🎧 ⁠
We made the first headphones you can't buy. ✨⁠
Want to know why? 🌎 🌿⁠
Rethinking ownership is one of the key elements towards a circular economy. 🤔⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
#duurzaam #sustainable #duurzaamheid #duurzaamleven #futureproof #ecologisch #vegan #recycle #headphones #groen #milieu #zerowaste #nature #eco #organic #hergebruik #muziek #music #rethinkingownership #concert #zingen #dj #nederland #rotterdam #fstartup #live #livemuziek #festival #cultuur #circulair ⁠
1w",1.0,,,,,,,,,,
ww_geldrop,1.0,229.0,246.0,585.0,1.0,,"ww_geldrop
Mooie unieke tassen vind je bij de wereldwinkel...
10h","ww_geldrop
Mooi....
3d","ww_geldrop
Zomaar wat leuks bij ons in de winkel, mooi en Fairtrade
5d",1.0,,1.0,,,,1.0,,,,
larschoningh,1.0,691.0,702.0,0.0,,🇨🇦🇳🇱,,,,1.0,,1.0,,,,,,,,
ramonaoprins,,171.0,254.0,105.0,,💕mama van Olivia-Grace                                  ❤️@jordyijsselstijn,,,,1.0,,,,,,,,,,
